"","trial_num","trial_type","trial_time_in_seconds","item_presentation_condition","agent","object","property","item_name","n_examples","speaker","background","slider_response","slider_time_in_seconds","worker_id"
"126",3,"trial",15.834,"accidental","Dog","artifact","squeaking","fep",1,"mh",6,0.99,2.462,"ae752c16346406a7aaf5da045b786e6a"
"127",1,"trial",17.361,"pedagogical","Tiger","artifact","squeaking","dax",1,"tg",9,0.91,8.879,"70d2722a315355006e7263430c555c30"
"128",2,"trial",22.07,"pedagogical","Bear","bird","green feathers","fep",1,"mh",10,0.7,3.166,"70d2722a315355006e7263430c555c30"
"129",3,"trial",17.721,"pedagogical","Pig","flower","purple petals","blicket",1,"sb",2,0.88,2.156,"70d2722a315355006e7263430c555c30"
"130",1,"trial",18.481,"pedagogical","Tiger","artifact","squeaking","fep",1,"mh",10,0.93,7.051,"d781c7fedeccb5ca74a11928eae7508f"
"131",2,"trial",17.539,"pedagogical","Dog","bird","green feathers","dax",1,"sb",1,0.86,3.618,"d781c7fedeccb5ca74a11928eae7508f"
"132",3,"trial",18.058,"pedagogical","Sheep","flower","purple petals","blicket",1,"tg",7,0.93,3.882,"d781c7fedeccb5ca74a11928eae7508f"
"133",1,"trial",19.993,"accidental","Tiger","flower","purple petals","fep",1,"sb",7,0.77,5.994,"06c3af3db43fd56f976e83fbc7dfeb13"
"134",2,"trial",15.638,"accidental","Dog","bird","green feathers","blicket",1,"tg",3,0.77,3.991,"06c3af3db43fd56f976e83fbc7dfeb13"
"135",3,"trial",17.123,"accidental","Elephant","artifact","squeaking","dax",1,"mh",8,0.82,30.531,"06c3af3db43fd56f976e83fbc7dfeb13"
"136",1,"trial",43.944,"accidental","Cat","bird","green feathers","blicket",1,"mh",4,0.51,12.856,"aaa7d1416993bfdcecc774591090cb21"
"137",2,"trial",18.732,"accidental","Dog","artifact","squeaking","dax",1,"tg",3,0.52,4.507,"aaa7d1416993bfdcecc774591090cb21"
"138",3,"trial",17.509,"accidental","Pig","flower","purple petals","fep",1,"sb",9,0.53,6.421,"aaa7d1416993bfdcecc774591090cb21"
"139",1,"trial",16.429,"pedagogical","Cat","artifact","squeaking","dax",1,"tg",7,1,5.064,"c8b8bce6cad6c547504abaeb0773007d"
"140",2,"trial",15.917,"pedagogical","Pig","bird","green feathers","fep",1,"sb",8,0.58,4.63,"c8b8bce6cad6c547504abaeb0773007d"
"141",3,"trial",15.795,"pedagogical","Tiger","flower","purple petals","blicket",1,"mh",5,0.93,4.011,"c8b8bce6cad6c547504abaeb0773007d"
"142",1,"trial",20.443,"accidental","Bear","flower","purple petals","fep",1,"mh",3,1,5.849,"8405ce3cb8afe159f717e994ea2c6786"
"143",2,"trial",14.853,"accidental","Sheep","bird","green feathers","blicket",1,"sb",6,0.99,2.714,"8405ce3cb8afe159f717e994ea2c6786"
"144",3,"trial",15.227,"accidental","Tiger","artifact","squeaking","dax",1,"tg",4,0.99,2.367,"8405ce3cb8afe159f717e994ea2c6786"
"145",1,"trial",82.306,"accidental","Elephant","flower","purple petals","fep",1,"sb",10,0.66,45.294,"511c98fac07b004dd816ddad04c6ea18"
"146",2,"trial",22.744,"accidental","Dog","artifact","squeaking","dax",1,"tg",7,0.84,7.038,"511c98fac07b004dd816ddad04c6ea18"
"147",3,"trial",21.128,"accidental","Tiger","bird","green feathers","blicket",1,"mh",1,0.49,4.947,"511c98fac07b004dd816ddad04c6ea18"
"148",1,"trial",21.77,"accidental","Sheep","artifact","squeaking","blicket",1,"sb",6,0.79,12.706,"1a1a1cccfebc826610180e184bb5594f"
"149",2,"trial",20.616,"accidental","Tiger","bird","green feathers","dax",1,"mh",8,0.54,8.375,"1a1a1cccfebc826610180e184bb5594f"
"150",3,"trial",18.273,"accidental","Dog","flower","purple petals","fep",1,"tg",9,0.91,2.34,"1a1a1cccfebc826610180e184bb5594f"
"151",1,"trial",25.698,"accidental","Monkey","flower","purple petals","fep",1,"mh",10,0.35,9.559,"5cb7d6a5663ed85bb79213772ebd2028"
"152",2,"trial",16.92,"accidental","Dog","artifact","squeaking","dax",1,"tg",5,0.22,3.799,"5cb7d6a5663ed85bb79213772ebd2028"
"153",3,"trial",16.68,"accidental","Tiger","bird","green feathers","blicket",1,"sb",1,0.28,2.614,"5cb7d6a5663ed85bb79213772ebd2028"
"154",1,"trial",18.25,"pedagogical","Cat","bird","green feathers","fep",1,"mh",2,0.88,7.604,"8c8f4f56a19bda9d9bc764e450ccc063"
"155",2,"trial",21.894,"pedagogical","Tiger","flower","purple petals","blicket",1,"sb",6,0.85,8.527,"8c8f4f56a19bda9d9bc764e450ccc063"
"156",3,"trial",15.278,"pedagogical","Dog","artifact","squeaking","dax",1,"tg",7,0.71,6.266,"8c8f4f56a19bda9d9bc764e450ccc063"
"157",1,"trial",20.397,"accidental","Bear","artifact","squeaking","blicket",1,"tg",7,0.99,4.419,"06d6ba81aed45a378d4ab6062266dbd9"
"158",2,"trial",17.472,"accidental","Cat","bird","green feathers","fep",1,"mh",4,0.23,4.87,"06d6ba81aed45a378d4ab6062266dbd9"
"159",3,"trial",15.175,"accidental","Monkey","flower","purple petals","dax",1,"sb",2,0.53,3.695,"06d6ba81aed45a378d4ab6062266dbd9"
"160",1,"trial",17.33,"accidental","Bear","artifact","squeaking","blicket",1,"sb",5,0.95,12.989,"ae97d98e9ee084eb88013614c5e7d7a4"
"161",2,"trial",21.348,"accidental","Monkey","flower","purple petals","fep",1,"tg",3,0.81,5.206,"ae97d98e9ee084eb88013614c5e7d7a4"
"162",3,"trial",16.096,"accidental","Cat","bird","green feathers","dax",1,"mh",8,0.66,4.509,"ae97d98e9ee084eb88013614c5e7d7a4"
