workerid,proliferate.condition,Browser,OS,screenH,screenW,error
50,naive-1,Chrome,Windows,1080,1920,
58,naive-1,Chrome,Windows,768,1366,
66,naive-1,Chrome,Windows,864,1536,
75,naive-1,Firefox,Windows,900,1600,
36,accidental-1,Chrome,Windows,720,1280,
15,accidental-1,Firefox,Windows,1080,1920,
150,accidental-1,Chrome,Windows,1080,1920,
144,accidental-1,Firefox,Linux,760,360,
34,accidental-1,Chrome,Windows,864,1536,
148,accidental-1,Chrome,Windows,1080,1920,
17,accidental-1,Chrome,Windows,1080,1920,
142,accidental-1,Chrome,Windows,960,1707,
20,accidental-1,Chrome,Mac,900,1440,
30,accidental-1,Firefox,Windows,768,1366,
27,accidental-1,Safari,Mac,800,1280,
140,accidental-1,Chrome,Windows,1080,1920,
26,accidental-1,Chrome,Windows,864,1536,
32,accidental-1,Chrome,Linux,1280,800,
147,accidental-1,Chrome,Linux,760,360,
24,accidental-1,Chrome,Windows,800,1280,
22,accidental-1,Chrome,Mac,1080,1920,
90,accidental-2,Safari,iPhone/iPod,896,414,
53,accidental-2,Chrome,Windows,900,1600,
135,accidental-2,Chrome,Mac,900,1440,
57,accidental-2,Chrome,Mac,1050,1680,
93,accidental-2,Chrome,Mac,900,1440,
139,accidental-2,Chrome,Windows,768,1366,
85,accidental-2,Chrome,Windows,864,1536,
134,accidental-2,Chrome,Windows,864,1536,
136,accidental-2,Chrome,Linux,883,412,
65,accidental-2,Chrome,Windows,1080,1920,
109,accidental-2,Chrome,Windows,768,1366,
129,accidental-2,Chrome,Windows,1440,2560,
81,accidental-2,Chrome,Windows,864,1536,
138,accidental-2,Chrome,Windows,768,1366,
101,accidental-2,Chrome,Linux,800,1280,
77,accidental-2,Chrome,Windows,1080,1920,
137,accidental-2,Firefox,Windows,768,1366,
133,accidental-2,Chrome,Linux,640,360,
106,accidental-2,Chrome,Windows,1080,1920,
125,accidental-2,Chrome,Windows,864,1536,
73,accidental-2,Chrome,Linux,800,1280,
69,accidental-2,Chrome,Mac,800,1280,
49,accidental-2,Chrome,Windows,768,1366,
132,accidental-2,Firefox,Windows,1080,1920,
113,accidental-2,Chrome,Linux,768,1366,
97,accidental-2,Chrome,Linux,768,1366,
61,accidental-2,Chrome,Windows,864,1536,
131,accidental-2,Chrome,Windows,1080,1920,
117,accidental-2,Chrome,Windows,800,1280,
121,accidental-2,Chrome,Windows,864,1536,
130,accidental-2,Chrome,Windows,1080,1920,
149,pedagogical-1,Chrome,Linux,823,412,
19,pedagogical-1,Chrome,Windows,864,1536,
31,pedagogical-1,Firefox,Windows,800,1280,
33,pedagogical-1,Safari,iPhone/iPod,667,375,
21,pedagogical-1,Chrome,Windows,1728,3072,
23,pedagogical-1,Chrome,Windows,1080,2560,
145,pedagogical-1,Chrome,Windows,1024,1280,
25,pedagogical-1,Chrome,Windows,1080,1920,
143,pedagogical-1,Chrome,Windows,1080,1920,
35,pedagogical-1,Firefox,Windows,1080,1920,
141,pedagogical-1,Chrome,Linux,864,1536,
29,pedagogical-1,Chrome,Linux,640,360,
14,pedagogical-1,Chrome,Windows,864,1536,
18,pedagogical-1,Safari,Mac,900,1440,
146,pedagogical-1,Chrome,Windows,768,1280,
28,pedagogical-1,Safari,iPhone/iPod,896,414,
